0,1,Houston,B12,3-0,22.2
0,2,Kansas,B12,2-0,21.4
0,3,Gonzaga,WCC,1-0,19.8
0,4,Arizona,P12,3-0,19.8
0,5,Duke,ACC,1-1,19.2
0,6,Tennessee,SEC,2-0,19.1
0,7,Purdue,B10,3-0,18.5
0,8,Kentucky,SEC,2-0,16.9
3,9,Connecticut,BE,2-0,16.0
-1,10,Michigan St.,B10,1-1,15.7
-1,11,North Carolina,ACC,2-0,15.3
3,12,Creighton,BE,2-0,15.2
1,13,Michigan,B10,3-0,15.1
-1,14,Baylor,B12,2-0,15.1
-4,15,Arkansas,SEC,3-0,14.9
2,16,Iowa,B10,2-0,14.5
-1,17,Memphis,Amer,2-0,14.2
-1,18,UCLA,P12,2-0,13.9
1,19,Marquette,BE,2-0,13.9
1,20,USC,P12,2-0,13.8
-2,21,Oregon,P12,2-0,13.6
0,22,Texas,B12,2-0,13.4
0,23,Illinois,B10,2-0,13.2
2,24,Alabama,SEC,2-0,13.2
-1,25,TCU,B12,2-0,13.2
1,26,Wisconsin,B10,1-1,12.6
2,27,Texas A&M,SEC,2-0,12.5
2,28,Virginia,ACC,2-0,12.3
-4,29,Miami FL,ACC,3-0,12.2
3,30,Virginia Tech,ACC,1-1,12.0
1,31,San Diego St.,MWC,1-1,11.9
-4,32,Saint Mary's,WCC,1-1,11.7
3,33,Texas Tech,B12,2-0,11.4
0,34,Maryland,B10,1-2,11.3
0,35,Auburn,SEC,1-1,11.1
-5,36,Villanova,BE,2-1,11.1
1,37,Mississippi St.,SEC,2-0,11.0
1,38,Colorado,P12,2-0,11.0
5,39,Utah,P12,2-0,10.8
9,40,Iowa St.,B12,3-0,10.7
9,41,BYU,B12,2-0,10.5
-5,42,Ohio St.,B10,1-1,10.3
-3,43,Florida St.,ACC,2-0,10.3
1,44,Seton Hall,BE,2-0,10.0
-2,45,Clemson,ACC,3-0,9.9
-4,46,Xavier,BE,2-1,9.9
-1,47,LSU,SEC,1-1,9.7
0,48,N.C. State,ACC,2-0,9.7
-8,49,Indiana,B10,2-0,9.6
-3,50,Providence,BE,2-0,9.5
3,51,Oklahoma,B12,2-0,9.1
0,52,Rutgers,B10,2-1,8.9
-2,53,Dayton,A10,1-1,8.9
-1,54,Cincinnati,B12,3-0,8.8
1,55,SMU,Amer,2-0,8.4
1,56,Washington,P12,2-1,8.3
1,57,Nevada,MWC,2-0,8.0
-3,58,St. John's,BE,1-1,7.6
1,59,Florida Atlantic,Amer,1-0,7.6
-1,60,Syracuse,ACC,2-0,7.5
4,61,Kansas St.,B12,2-1,7.4
