Date,Away,Home,Predicted Favorite,Model Spread,Win Probability
11/13/2023,Michigan,St. John's,Michigan,-2.9,69.5%
11/13/2023,Hampton,Norfolk St.,Norfolk St.,-8.0,72.8%
11/13/2023,Siena,American,American,-3.9,58.6%
11/13/2023,The Citadel,Presbyterian,Presbyterian,-4.2,59.4%
11/13/2023,Florida Gulf Coast,Pittsburgh,Pittsburgh,-9.6,77.4%
11/13/2023,Villanova,Penn,Villanova,-12.0,91.4%
11/13/2023,East Tennessee St.,Butler,Butler,-14.0,87.7%
11/13/2023,Quinnipiac,Massachusetts,Massachusetts,-8.2,72.5%
11/13/2023,FIU,Miami FL,Miami FL,-22.6,97.5%
11/13/2023,Central Michigan,Florida St.,Florida St.,-24.9,98.3%
11/13/2023,North Florida,South Carolina St.,North Florida,-7.0,82.8%
11/13/2023,VMI,South Carolina,South Carolina,-19.0,94.9%
11/13/2023,Stony Brook,Duquesne,Duquesne,-8.1,72.3%
11/13/2023,Western Carolina,Middle Tennessee,Middle Tennessee,-6.6,67.0%
11/13/2023,Arkansas Pine Bluff,Central Arkansas,Central Arkansas,-4.9,67.8%
11/13/2023,Stephen F. Austin,Northwestern St.,Stephen F. Austin,-9.2,87.2%
11/13/2023,Southern,Arizona,Arizona,-30.4,99.8%
11/13/2023,South Dakota St.,Kansas St.,Kansas St.,-8.6,74.8%
11/13/2023,SIU Edwardsville,Missouri,Missouri,-15.7,90.6%
11/13/2023,Old Dominion,Arkansas,Arkansas,-18.6,96.2%
11/13/2023,Stetson,Houston,Houston,-31.2,100.2%
11/13/2023,Rider,Nebraska,Nebraska,-12.9,85.4%
11/13/2023,Oral Roberts,Missouri St.,Missouri St.,-6.3,66.3%
11/13/2023,Xavier,Purdue,Purdue,-11.2,93.5%
11/13/2023,UC Santa Barbara,UTEP,UC Santa Barbara,-1.7,65.6%
11/13/2023,Cal St. Bakersfield,California,California,-8.8,75.1%
11/13/2023,LIU,Pepperdine,Pepperdine,-15.2,91.2%
11/10/2023,Air Force,LIU,Air Force,-0.6,60.80%
11/10/2023,Central Connecticut,Quinnipiac,Quinnipiac,-10.6,81.90%
11/10/2023,Charlotte*,Liberty*,Liberty,-3.1,62.50%
11/10/2023,Kennesaw St.,Florida St.,Florida St.,-17.9,93.60%
11/10/2023,Charleston*,Duquesne*,Charleston,-1.8,57.30%
11/10/2023,UMass Lowell,Dartmouth,UMass Lowell,-2.6,69.00%
11/10/2023,Jacksonville,Xavier,Xavier,-20.3,95.80%
11/10/2023,Penn,Saint Joseph's,Saint Joseph's,-7.2,69.20%
11/10/2023,Youngstown St.,Michigan,Michigan,-22.1,97.60%
11/10/2023,Le Moyne,Villanova,Villanova,-24.3,98.10%
11/10/2023,Florida*,Virginia*,Virginia,-6.8,78.10%
11/10/2023,Davidson,Maryland,Maryland,-10.3,82.80%
11/10/2023,Princeton,Hofstra,Hofstra,-4.2,58.00%
11/10/2023,Texas A&M Commerce,Kentucky,Kentucky,-31.4,99.80%
11/10/2023,Marshall,Radford,Radford,-0.3,42.00%
11/10/2023,Austin Peay,George Mason,George Mason,-11.4,82.30%
11/10/2023,Chattanooga,Louisville,Louisville,-9.4,76.40%
11/10/2023,USC Upstate,Vanderbilt,Vanderbilt,-15.9,91.10%
11/10/2023,Boston College,The Citadel,Boston College,-6.2,80.00%
11/10/2023,Boston University,Rutgers,Rutgers,-16.6,92.00%
11/10/2023,Troy,Oregon St.,Oregon St.,-6.8,68.30%
11/10/2023,Monmouth,West Virginia,West Virginia,-18.4,94.00%
11/10/2023,Southern Miss,Akron,Akron,-6.8,68.10%
11/10/2023,Morehead St.,Purdue,Purdue,-26.2,99.70%
11/10/2023,Arizona,Duke,Duke,-2.3,89.10%
11/10/2023,UCF,Miami FL,Miami FL,-9.2,81.60%
11/10/2023,Binghamton,Pittsburgh,Pittsburgh,-16.1,91.10%
11/10/2023,Belmont,Furman,Furman,-5.5,63.10%
