Date,Away,Home,Predicted Favorite,Model Spread,Win Probability
11/14/2023,North Dakota St.,UC Davis,North Dakota St.,-0.2,50.7%
11/14/2023,Wisconsin,Providence,Wisconsin,-0.1,57.5%
11/14/2023,Wofford,Tennessee,Tennessee,-25.2,99.5%
11/14/2023,Bucknell,La Salle,La Salle,-9.0,76.8%
11/14/2023,Northeastern,Harvard,Harvard,-8.0,71.9%
11/14/2023,Sacred Heart,Holy Cross,Holy Cross,-0.9,44.9%
11/14/2023,Hofstra,George Washington,George Washington,-0.5,43.1%
11/14/2023,Stonehill,Saint Joseph's,Saint Joseph's,-16.2,92.0%
11/14/2023,IUPUI,Indiana St.,Indiana St.,-11.4,84.4%
11/14/2023,Lipscomb,Tennessee Tech,Tennessee Tech,-2.3,50.4%
11/14/2023,Temple,Drexel,Drexel,-1.5,47.0%
11/14/2023,Bellarmine,Chattanooga,Chattanooga,-8.2,72.8%
11/14/2023,Georgia Southern,Jacksonville,Jacksonville,-2.1,50.1%
11/14/2023,Saint Francis,Penn St.,Penn St.,-23.1,97.6%
11/14/2023,North Carolina A&T,Virginia,Virginia,-29.8,99.4%
11/14/2023,Brown,New Hampshire,Brown,-0.8,62.1%
11/14/2023,Jacksonville St.,West Virginia,West Virginia,-13.9,87.6%
11/14/2023,Mercer,Morehead St.,Morehead St.,-2.8,52.3%
11/14/2023,Mississippi Valley St.,Connecticut,Connecticut,-38.3,100.0%
11/14/2023,Eastern Michigan,Florida Atlantic,Florida Atlantic,-18.4,94.0%
11/14/2023,Toledo,Wright St.,Toledo,-4.7,75.5%
11/14/2023,Florida A&M,Florida,Florida,-22.8,97.6%
11/14/2023,High Point,Queens,Queens,-3.4,55.4%
11/14/2023,Duke,Michigan St.,Duke,-3.5,69.6%
11/14/2023,Colgate,Syracuse,Syracuse,-9.5,77.7%
11/14/2023,Wagner,Rhode Island,Rhode Island,-6.2,66.1%
11/14/2023,Bowling Green,Oakland,Oakland,-6.5,67.0%
11/14/2023,North Alabama,Mississippi St.,Mississippi St.,-20.8,96.3%
11/14/2023,UMass Lowell,Georgia Tech,Georgia Tech,-4.5,59.7%
11/14/2023,Boston University,Howard,Howard,-5.4,63.1%
11/14/2023,South Alabama,Alabama,Alabama,-14.0,90.6%
11/14/2023,Cal St. Northridge,Chicago St.,Cal St. Northridge,-1.0,62.3%
11/14/2023,Green Bay,Valparaiso,Valparaiso,-7.1,79.6%
11/14/2023,Colorado St.,Northern Colorado,Colorado St.,-9.7,87.5%
11/14/2023,Western Kentucky,Murray St.,Murray St.,-4.1,57.7%
