Date,Away,Home,Predicted Favorite,Model Spread,Win Probability
11/25/2023,Detroit Mercy,SIU Edwardsville,SIU Edwardsville,-1.2,46.2%
11/25/2023,UMBC,William & Mary,William & Mary,-0.7,44.0%
11/25/2023,Canisius*,Western Kentucky*,Western Kentucky*,-5.5,71.0%
11/25/2023,Southern Miss,Milwaukee,Southern Miss,-1.7,65.5%
11/25/2023,Tulsa,Little Rock,Tulsa,-1.1,63.4%
11/25/2023,Texas St.,UT Arlington,UT Arlington,-1.4,46.9%
11/25/2023,St. Thomas,Green Bay,St. Thomas,-5.8,79.6%
11/25/2023,North Carolina A&T,Samford,Samford,-18.2,95.9%
11/25/2023,Lamar,Longwood,Longwood,-9.7,78.4%
11/25/2023,Tennessee Martin,Chicago St.,Tennessee Martin,-3.2,71.1%
11/25/2023,Eastern Michigan,Central Arkansas,Eastern Michigan,-2.1,66.8%
11/25/2023,Alabama*,Oregon*,Alabama*,-3.4,67.0%
11/25/2023,Incarnate Word,UTSA,UTSA,-5.1,65.3%
11/25/2023,Southern,Valparaiso,Valparaiso,-1.2,47.1%
11/25/2023,Niagara,Saint Francis,Niagara,-4.3,74.9%
11/25/2023,Bucknell,Marist,Marist,-7.1,70.5%
11/25/2023,LIU,Northern Kentucky,Northern Kentucky,-13.3,88.2%
11/25/2023,Fairleigh Dickinson*,Jacksonville*,Jacksonville*,-0.5,52.3%
11/25/2023,Howard,Mount St. Mary's,Mount St. Mary's,-1.5,47.3%
11/25/2023,UNC Wilmington,Florida Gulf Coast,Florida Gulf Coast,-2.6,51.2%
11/25/2023,UNC Asheville*,Wofford*,Wofford*,-0.4,51.7%
11/25/2023,Belmont,Penn,Penn,-2.6,51.3%
11/25/2023,UNC Greensboro*,Delaware*,UNC Greensboro*,-2.2,58.8%
11/25/2023,Delaware St.*,Bethune Cookman*,Bethune Cookman*,-0.8,54.0%
11/25/2023,Furman,UAB,UAB,-4.4,59.4%
11/25/2023,Georgia St.,Charlotte,Charlotte,-4.6,59.3%
11/25/2023,Ohio St.*,Santa Clara*,Ohio St.*,-6.7,77.0%
11/25/2023,Illinois Chicago*,George Washington*,George Washington*,-0.7,53.0%
11/25/2023,Texas Southern,Drake,Drake,-14,87.8%
11/25/2023,Lipscomb*,Bowling Green*,Lipscomb*,-4.8,68.9%
11/25/2023,Holy Cross,St. John's,St. John's,-22.5,97.2%
11/25/2023,Norfolk St.,Wichita St.,Wichita St.,-14.1,87.8%
11/25/2023,South Alabama,Maryland,Maryland,-15.4,91.0%
11/25/2023,UTEP,Loyola Marymount,Loyola Marymount,-3.4,54.8%
11/25/2023,Alabama A&M,Cleveland St.,Cleveland St.,-16.6,93.9%
11/25/2023,Queens,Richmond,Richmond,-13.5,86.8%
11/25/2023,California*,San Diego St.*,San Diego St.*,-13.8,92.1%
11/25/2023,Arkansas St.*,UT Rio Grande Valley*,Arkansas St.*,-6.4,75.7%
11/25/2023,North Dakota St.,Grand Canyon,Grand Canyon,-11.3,81.9%
11/25/2023,Vermont,Bradley,Bradley,-2.9,53.2%
11/25/2023,Dartmouth,Saint Louis,Saint Louis,-17.5,93.7%
11/25/2023,Northern Illinois,DePaul,DePaul,-5,61.0%
11/25/2023,Hawaii*,San Diego*,Hawaii*,-3.5,64.0%
11/24/2023,UNC Greensboro*,UMKC*,UNC Greensboro*,-13.5,90.6%
11/24/2023,Texas A&M*,Florida Atlantic*,Texas A&M*,-5.2,72.8%
11/24/2023,Mercer*,Tennessee St.*,Tennessee St.*,-2,58.1%
11/24/2023,Bryant,Xavier,Xavier,-13.6,88.5%
11/24/2023,Arkansas*,North Carolina*,North Carolina*,-2.3,62.0%
11/24/2023,Jacksonville St.,UTSA,Jacksonville St.,-1.3,63.9%
11/24/2023,Charleston Southern,Wake Forest,Wake Forest,-21.3,96.8%
11/24/2023,Brown*,Delaware*,Delaware*,-4.8,68.8%
11/24/2023,Penn St.*,Butler*,Penn St.*,-0.6,52.7%
11/24/2023,Manhattan,Connecticut,Connecticut,-28,99.4%
11/24/2023,Lipscomb*,UNC Asheville*,Lipscomb*,-2.8,61.1%
11/24/2023,LIU*,Texas A&M Corpus Chris*,Texas A&M Corpus Chris*,-5.1,72.6%
11/24/2023,Alabama St.*,North Carolina A&T*,Alabama St.*,-3.6,67.6%
11/24/2023,Evansville,Chattanooga,Chattanooga,-7,68.7%
11/24/2023,Arkansas Pine Bluff,Ball St.,Ball St.,-13.1,90.4%
11/24/2023,Belmont*,Monmouth*,Belmont*,-3.7,64.7%
11/24/2023,Indiana St.*,Toledo*,Toledo*,-2.9,61.9%
11/24/2023,Nicholls St.,Mississippi St.,Mississippi St.,-20.2,96.1%
11/24/2023,Southeastern Louisiana*,Western Michigan*,Western Michigan*,-2.4,60.6%
11/24/2023,Delaware St.,Longwood,Longwood,-17.6,94.9%
11/24/2023,Oregon St.*,Pittsburgh*,Pittsburgh*,-11.1,86.5%
11/24/2023,Memphis*,Villanova*,Memphis*,-1.2,56.0%
11/24/2023,USC*,Oklahoma*,USC*,-0.2,51.0%
11/24/2023,Merrimack,Samford,Samford,-7.7,71.4%
11/24/2023,Montana,Houston,Houston,-26,100.4%
11/24/2023,Utah Tech,Washington St.,Washington St.,-13.8,87.4%
11/24/2023,Davidson,Saint Mary's,Saint Mary's,-5.6,65.4%
11/24/2023,Jacksonville,Robert Morris,Robert Morris,-8.1,74.4%
11/24/2023,Rice*,UC Irvine*,UC Irvine*,-8.9,81.1%
11/24/2023,Middle Tennessee*,Illinois Chicago*,Middle Tennessee*,-2.6,60.2%
11/24/2023,Lafayette,Penn,Penn,-10.2,80.2%
11/24/2023,Canisius*,Wofford*,Wofford*,-1.1,54.6%
11/24/2023,Winthrop,Georgia,Georgia,-5.5,62.9%
11/24/2023,Grambling St.,Troy,Troy,-9.7,80.3%
11/24/2023,Baylor*,Florida*,Baylor*,-7.4,81.6%
11/24/2023,Iowa St.*,Virginia Tech*,Iowa St.*,-1.4,57.3%
11/24/2023,Texas Tech*,Michigan*,Michigan*,-4.5,70.7%
11/24/2023,Seton Hall*,Iowa*,Iowa*,-2.8,63.4%
11/24/2023,Southern Indiana,Duke,Duke,-32.4,99.9%
11/24/2023,Bethune Cookman*,Lamar*,Lamar*,-3.1,64.0%
11/24/2023,Pepperdine*,New Mexico*,New Mexico*,-9.1,82.3%
11/24/2023,Alabama*,Ohio St.*,Alabama*,-7.4,82.6%
11/24/2023,George Washington*,Ohio*,Ohio*,-2.7,61.0%
11/24/2023,Lehigh,Providence,Providence,-19.3,95.1%
11/24/2023,Marshall,Kentucky,Kentucky,-20.4,97.7%
11/24/2023,Youngstown St.,Dayton,Dayton,-17.6,93.4%
11/24/2023,New Hampshire,Fairfield,Fairfield,-0.8,44.2%
11/24/2023,Western Kentucky*,Bowling Green*,Western Kentucky*,-8.4,79.9%
11/24/2023,Alabama A&M*,East Tennessee St.*,East Tennessee St.*,-9.1,84.7%
11/24/2023,Vanderbilt*,Arizona St.*,Arizona St.*,-1.7,56.9%
11/24/2023,VCU*,Boise St.*,VCU*,-0.8,53.5%
11/24/2023,Houston Christian,Oklahoma St.,Oklahoma St.,-26.2,99.0%
11/24/2023,Hawaii*,UT Rio Grande Valley*,Hawaii*,-12.5,89.3%
11/24/2023,North Florida,LSU,LSU,-21,96.3%
11/24/2023,Alcorn St.,Clemson,Clemson,-23.5,97.7%
11/24/2023,Northern Iowa*,Stanford*,Stanford*,-6,72.9%
11/24/2023,Western Illinois,Illinois,Illinois,-27.4,99.0%
11/24/2023,Oregon*,Santa Clara*,Oregon*,-8.8,83.5%
11/24/2023,Le Moyne,Pacific,Pacific,-6.7,69.2%
11/24/2023,Mississippi Valley St.,Cal St. Northridge,Cal St. Northridge,-13.9,97.0%
11/24/2023,N.C. State*,BYU*,BYU*,-4.5,71.5%
11/24/2023,Arkansas St.*,San Diego*,San Diego*,-1.5,56.1%
11/23/2023,Penn St.*,Texas A&M*,Texas A&M*,-4.7,70.8%
11/23/2023,Texas Tech*,Northern Iowa*,Texas Tech*,-10.7,86.3%
11/23/2023,Loyola Chicago*,Boston College*,Boston College*,-0.6,52.2%
11/23/2023,Florida Atlantic*,Butler*,Florida Atlantic*,-0.5,52.3%
11/23/2023,Villanova*,North Carolina*,North Carolina*,-3.4,67.2%
11/23/2023,Oklahoma*,Iowa*,Iowa*,-2.8,63.4%
11/23/2023,Colorado St.*,Creighton*,Creighton*,-8,83.2%
11/23/2023,Arizona*,Michigan St.*,Arizona*,-5,77.7%
11/23/2023,Arkansas*,Memphis*,Arkansas*,-0.2,50.9%
11/23/2023,Seton Hall*,USC*,USC*,-1.3,56.3%
11/23/2023,Iowa St.*,VCU*,Iowa St.*,-7.6,80.8%
11/23/2023,Stanford*,Michigan*,Michigan*,-8.5,83.3%
11/23/2023,Boise St.*,Virginia Tech*,Virginia Tech*,-6.7,77.5%
11/23/2023,N.C. State*,Vanderbilt*,N.C. State*,-8.4,81.3%
11/23/2023,BYU*,Arizona St.*,BYU*,-9.5,85.2%
11/22/2023,Iona*,Buffalo*,Iona*,-5.3,70.5%
11/22/2023,Appalachian St.*,Murray St.*,Murray St.*,-1.6,56.3%
11/22/2023,Northern Iowa*,North Carolina*,North Carolina*,-15.9,94.7%
11/22/2023,Morgan St.*,Chicago St.*,Chicago St.*,0,50.2%
11/22/2023,Southern Utah*,Texas St.*,Texas St.*,-1.4,55.6%
11/22/2023,Georgia St.,Little Rock,Georgia St.,-2.9,69.7%
11/22/2023,Long Beach St.*,Louisiana*,Long Beach St.*,-2.3,59.2%
11/22/2023,Boston College*,Colorado St.*,Colorado St.*,-6.4,74.9%
11/22/2023,Harvard,Colgate,Colgate,-1.1,45.3%
11/22/2023,Tennessee Tech,Presbyterian,Presbyterian,-2.5,52.1%
11/22/2023,Central Connecticut,Massachusetts,Massachusetts,-16.1,91.6%
11/22/2023,Sam Houston St.*,Grambling St.*,Sam Houston St.*,-9,82.7%
11/22/2023,Texas Tech*,Villanova*,Villanova*,-1.7,58.1%
11/22/2023,Tennessee*,Kansas*,Kansas*,-1.3,57.9%
11/22/2023,Radford*,Northern Colorado*,Radford*,-4.7,68.8%
11/22/2023,Austin Peay*,Sacramento St.*,Sacramento St.*,-0.1,50.6%
11/22/2023,North Alabama,Tennessee Martin,Tennessee Martin,-3.6,56.5%
11/22/2023,Merrimack*,North Carolina A&T*,Merrimack*,-7.8,81.5%
11/22/2023,Mississippi,Temple,Mississippi,-2,66.6%
11/22/2023,McNeese St.,Louisiana Tech,Louisiana Tech,-8,72.0%
11/22/2023,Princeton,Old Dominion,Princeton,-0.7,61.7%
11/22/2023,Creighton*,Loyola Chicago*,Creighton*,-15,94.2%
11/22/2023,Mount St. Mary's,American,American,-1.2,46.1%
11/22/2023,Purdue*,Marquette*,Purdue*,-4.4,73.6%
11/22/2023,Illinois St.*,Wright St.*,Wright St.*,-2.4,59.6%
11/22/2023,Cal St. Bakersfield*,Tarleton St.*,Tarleton St.*,-1.8,57.6%
11/22/2023,Memphis*,Michigan*,Michigan*,-0.6,53.3%
11/22/2023,VMI,Air Force,Air Force,-8.4,76.4%
11/22/2023,The Citadel,Campbell,Campbell,-4.6,61.0%
11/22/2023,Southern Illinois*,New Mexico St.*,Southern Illinois*,-2.4,59.7%
11/22/2023,West Virginia*,Virginia*,Virginia*,-5.5,73.3%
11/22/2023,Texas A&M Corpus Chris,Northern Kentucky,Northern Kentucky,-8,72.7%
11/22/2023,Georgia Tech,Cincinnati,Cincinnati,-8.7,76.6%
11/22/2023,Maine,South Florida,South Florida,-12.7,85.5%
11/22/2023,Baylor*,Oregon St.*,Baylor*,-18.9,96.9%
11/22/2023,Bucknell,St. Bonaventure,St. Bonaventure,-15,89.9%
11/22/2023,Maryland Eastern Shore,Notre Dame,Notre Dame,-17.5,93.9%
11/22/2023,Fairleigh Dickinson,Queens,Queens,-5.3,63.8%
11/22/2023,Indiana St.*,Pepperdine*,Indiana St.*,-0.8,53.2%
11/22/2023,South Carolina St.,Missouri,Missouri,-23.1,98.0%
11/22/2023,East Tennessee St.,Cleveland St.,Cleveland St.,-8.5,74.0%
11/22/2023,High Point*,Hofstra*,Hofstra*,-9.5,82.6%
11/22/2023,Stanford*,Arkansas*,Arkansas*,-8.1,81.9%
11/22/2023,Alabama St.,Samford,Samford,-10.6,81.9%
11/22/2023,Duquesne,Nebraska,Nebraska,-7.3,70.2%
11/22/2023,Idaho,Seattle,Seattle,-15.2,92.2%
11/22/2023,Central Arkansas,Kansas St.,Kansas St.,-22.3,97.1%
11/22/2023,Jacksonville St.,Incarnate Word,Jacksonville St.,-4.8,76.5%
11/22/2023,Alcorn St.,UT Arlington,UT Arlington,-6.2,67.3%
11/22/2023,South Dakota St.,Southern Miss,Southern Miss,-0.3,42.0%
11/22/2023,SMU*,Wisconsin*,Wisconsin*,-4.1,68.4%
11/22/2023,James Madison*,Fresno St.*,James Madison*,-2,58.1%
11/22/2023,Purdue Fort Wayne,San Francisco,San Francisco,-13.6,87.1%
11/22/2023,UC Riverside,Montana St.,Montana St.,-4.4,59.4%
11/22/2023,Florida*,Pittsburgh*,Pittsburgh*,-2,59.1%
11/22/2023,New Mexico*,Rice*,New Mexico*,-10.1,84.3%
11/22/2023,Bradley*,UTEP*,Bradley*,-6.5,74.6%
11/22/2023,Toledo*,UC Irvine*,Toledo*,-0.6,52.6%
11/22/2023,Gonzaga*,UCLA*,Gonzaga*,-6.3,80.9%
11/22/2023,Tulane*,California*,Tulane*,-5.2,70.3%
11/21/2023,Long Beach St.*,Iona*,Long Beach St.,-1.7,56.7%
11/21/2023,FIU*,Loyola Marymount*,Loyola Marymount,-5.3,70.6%
11/21/2023,Binghamton,Sacred Heart,Sacred Heart,-3.4,54.9%
11/21/2023,Appalachian St.*,UNC Wilmington*,UNC Wilmington,-5.8,72.0%
11/21/2023,Prairie View A&M,Eastern Kentucky,Eastern Kentucky,-6.9,69.0%
11/21/2023,Central Michigan*,Stetson*,Stetson,-5.5,72.5%
11/21/2023,Morgan St.*,Radford*,Radford,-12.4,90.1%
11/21/2023,McNeese St.*,Texas St.*,Texas St.,-0.1,50.2%
11/21/2023,Marshall*,Oakland*,Oakland,-0.4,51.4%
11/21/2023,Buffalo*,Louisiana*,Louisiana,-5,69.7%
11/21/2023,Syracuse*,Gonzaga*,Gonzaga,-11.6,91.5%
11/21/2023,Georgia Southern*,Northeastern*,Northeastern,-5.8,72.7%
11/21/2023,Chicago St.*,Northern Colorado*,Northern Colorado,-6.8,77.8%
11/21/2023,Colorado*,Florida St.*,Colorado,-2.6,61.8%
11/21/2023,Southern Utah,Louisiana Tech*,Louisiana Tech,-8.1,72.2%
11/21/2023,North Carolina Central*,The Citadel*,North Carolina Central,-0.8,53.4%
11/21/2023,Illinois St.*,High Point*,Illinois St.,-3.1,62.4%
11/21/2023,Akron*,Drake*,Akron,-1.7,56.9%
11/21/2023,James Madison*,Southern Illinois*,James Madison,-1.3,55.3%
11/21/2023,Kennesaw St.,East Carolina,East Carolina,-9,75.3%
11/21/2023,Richmond*,UNLV*,Richmond,-0.1,50.5%
11/21/2023,Indiana St.*,Rice*,Indiana St.,-2.6,60.6%
11/21/2023,Marist,New Hampshire,New Hampshire,-2.8,52.5%
11/21/2023,UMBC,Maryland,Maryland,-17.6,93.5%
11/21/2023,Eastern Michigan,Detroit Mercy,Detroit Mercy,-6.8,69.1%
11/21/2023,USC Upstate,Ball St.,Ball St.,-4.1,58.7%
11/21/2023,Army,Albany,Albany,-2.4,52.2%
11/21/2023,Lehigh,Monmouth,Monmouth,-2.3,50.6%
11/21/2023,La Salle,Duke,Duke,-26.4,99.7%
11/21/2023,LIU,Columbia,Columbia,-8.1,77.8%
11/21/2023,Boston University,Davidson,Davidson,-13.2,86.1%
11/21/2023,Idaho St.,Campbell,Campbell,-8.4,76.1%
11/21/2023,Utah St.*,Stephen F. Austin*,Utah St.,-2.7,61.2%
11/21/2023,Hofstra*,Wright St.*,Hofstra,-3.9,65.5%
11/21/2023,UAB,Middle Tennessee,UAB,-0.7,61.7%
11/21/2023,Tennessee*,Purdue*,Purdue,-0.8,55.1%
11/21/2023,Western Illinois,Valparaiso,Valparaiso,-2.6,54.3%
11/21/2023,Alabama A&M,Auburn,Auburn,-31,99.6%
11/21/2023,Alcorn St.,TCU,TCU,-26.1,98.8%
11/21/2023,Texas Southern,Oral Roberts,Oral Roberts,-9.8,78.1%
11/21/2023,Fresno St.*,New Mexico St.*,Fresno St.,-2.7,60.9%
11/21/2023,Siena*,Milwaukee*,Milwaukee,-4.5,69.3%
11/21/2023,Pepperdine*,UC Irvine*,UC Irvine,-2.6,60.4%
11/21/2023,Arkansas Pine Bluff,Minnesota,Minnesota,-22.4,97.8%
11/21/2023,Green Bay*,UC Riverside*,UC Riverside,-8.2,82.0%
11/21/2023,Le Moyne,Cal St. Northridge,Cal St. Northridge,-4.6,61.9%
11/21/2023,Kansas*,Marquette*,Kansas,-7.4,85.6%
11/21/2023,New Mexico*,Toledo*,New Mexico,-1.7,57.4%
11/21/2023,Northern Arizona,Hawaii,Hawaii,-15.8,91.2%
11/20/2023,Iona*,High Point*,Iona,-7.6,77.9%
11/20/2023,Oakland*,Loyola Marymount*,Oakland,-0.2,50.8%
11/20/2023,Central Michigan*,Siena*,Central Michigan,-1.1,55.3%
11/20/2023,Southern Miss*,Cal St. Fullerton*,Southern Miss,-3.2,62.8%
11/20/2023,Norfolk St.*,Florida Gulf Coast*,Florida Gulf Coast,-3.6,64.5%
11/20/2023,Drake*,Stephen F. Austin,Drake,-3.6,64.6%
11/20/2023,Milwaukee*,Stetson*,Milwaukee,-0.3,51.4%
11/20/2023,Murray St.*,UNC Wilmington*,UNC Wilmington,-2,58.1%
11/20/2023,Long Beach St.*,Illinois St.*,Long Beach St.,-4.8,68.6%
11/20/2023,Utah Valley*,Cornell*,Cornell,-2.8,61.2%
11/20/2023,Tennessee*,Syracuse*,Tennessee,-11.8,92.0%
11/20/2023,Kennesaw St.*,Northeastern*,Northeastern,-4.2,66.9%
11/20/2023,Cal St. Bakersfield*,Sacramento St.*,Cal St. Bakersfield,-1.3,55.9%
11/20/2023,Hampton*,San Jose St.*,San Jose St.,-4.6,68.5%
11/20/2023,Idaho St.*,The Citadel*,The Citadel,-2.8,62.6%
11/20/2023,Indiana*,Louisville*,Indiana,-5.7,72.8%
11/20/2023,Purdue*,Gonzaga*,Purdue,-0.2,51.2%
11/20/2023,Louisiana*,Wright St.*,Wright St.,-0.4,51.7%
11/20/2023,Austin Peay*,Tarleton St.*,Tarleton St.,-3.1,63.3%
11/20/2023,Marshall*,FIU*,Marshall,-4.9,69.1%
11/20/2023,Florida St.*,UNLV*,Florida St.,-4.7,69.3%
11/20/2023,Kent St.*,Fordham*,Kent St.,-5.7,71.9%
11/20/2023,George Mason*,South Dakota St.*,George Mason,-1,54.1%
11/20/2023,Georgia Southern,East Carolina,East Carolina,-10.5,80.4%
11/20/2023,Virginia*,Wisconsin*,Virginia,-1.7,58.2%
11/20/2023,Morehead St.,Bellarmine,Bellarmine,-2.4,50.8%
11/20/2023,Rider,Stony Brook,Stony Brook,-2.7,52.6%
11/20/2023,Connecticut*,Texas*,Connecticut,-3.5,68.0%
11/20/2023,Delaware St.,NJIT,NJIT,-3.4,62.5%
11/20/2023,Howard,Bryant,Bryant,-7,68.7%
11/20/2023,UMass Lowell,Saint Peter's,UMass Lowell,-2.3,67.6%
11/20/2023,Saint Joseph's,Kentucky,Kentucky,-17.6,96.6%
11/20/2023,Southern Indiana,Bucknell,Bucknell,-2.1,50.8%
11/20/2023,Sam Houston St.,Troy,Troy,-0.2,41.7%
11/20/2023,North Carolina Central,Campbell,Campbell,-6.3,67.3%
11/20/2023,Charleston Southern,Bethune Cookman,Bethune Cookman,-2.8,57.1%
11/20/2023,Utah St.*,Akron*,Utah St.,-1.2,55.0%
11/20/2023,Hofstra*,Buffalo*,Hofstra,-6.1,73.0%
11/20/2023,Central Arkansas,Southeast Missouri St.,Southeast Missouri St.,-4,61.1%
11/20/2023,Abilene Christian*,Missouri St.*,Missouri St.,-5.4,70.9%
11/20/2023,Oregon,Florida A&M,Oregon,-25,99.0%
11/20/2023,New Orleans,Oklahoma St.,Oklahoma St.,-14.8,89.1%
11/20/2023,UTSA,Houston Christian,UTSA,-5.1,77.0%
11/20/2023,South Carolina St.,Tulsa,Tulsa,-15.6,93.1%
11/20/2023,Stonehill,Texas A&M Commerce,Texas A&M Commerce,-6.1,70.5%
11/20/2023,Colorado*,Richmond*,Colorado,-7.9,80.5%
11/20/2023,SMU*,West Virginia*,SMU,-1.3,55.8%
11/20/2023,Charlotte*,UCF*,UCF,-6,73.4%
11/20/2023,Green Bay,Montana St.,Montana St.,-16.1,94.3%
11/20/2023,Mississippi Valley St.,Santa Clara,Santa Clara,-25,99.2%
11/20/2023,Navy,San Diego,San Diego,-6.9,68.9%
11/20/2023,Bradley*,Tulane*,Bradley,-0.3,51.3%
11/20/2023,North Dakota,Pacific,Pacific,-7.7,72.7%
11/20/2023,UCLA*,Marquette*,Marquette,-1.4,57.1%
11/20/2023,California,UTEP,UTEP,-2.2,49.7%
11/19/2023,Wyoming*,Furman*,Furman,-6.9,75.6%
11/19/2023,Drake*,Oakland*,Drake,-4.9,69.1%
11/19/2023,Holy Cross*,IUPUI*,Holy Cross,-3.5,66.9%
11/19/2023,Utah Valley*,Southern Miss*,Southern Miss,-1.7,56.8%
11/19/2023,Prairie View A&M*,Tennessee Martin*,Tennessee Martin,-2.6,60.8%
11/19/2023,Providence*,Georgia*,Providence,-7.7,79.4%
11/19/2023,North Texas*,Towson*,North Texas,-5.2,69.9%
11/19/2023,Mississippi St.,Northwestern,Mississippi St.,-5.7,74.0%
11/19/2023,Charleston,Coastal Carolina,Coastal Carolina,-0.8,44.1%
11/19/2023,Weber St.*,Colgate*,Colgate,-1.2,54.9%
11/19/2023,Eastern Illinois,Miami OH,Miami OH,-8.8,78.9%
11/19/2023,Loyola MD,UMBC,UMBC,-5,62.2%
11/19/2023,Grambling St.,Iowa St.,Iowa St.,-23.8,97.9%
11/19/2023,Boise St.,Clemson,Clemson,-5.8,67.6%
11/19/2023,Connecticut*,Indiana*,Connecticut,-6.2,77.9%
11/19/2023,Manhattan,Central Connecticut,Central Connecticut,-1.2,46.7%
11/19/2023,SIU Edwardsville,South Alabama,South Alabama,-8.3,73.4%
11/19/2023,Lindenwood*,William & Mary*,William & Mary,-8.4,82.5%
11/19/2023,Loyola Marymount*,Stephen F. Austin*,Stephen F. Austin,-0.5,52.1%
11/19/2023,Little Rock,Georgia St.,Georgia St.,-8.3,73.4%
11/19/2023,Northern Kentucky,Cincinnati,Cincinnati,-13.8,88.1%
11/19/2023,Tennessee Tech,Chattanooga,Chattanooga,-10.2,79.3%
11/19/2023,Northeastern,East Carolina,East Carolina,-6.2,65.6%
11/19/2023,Queens,Drexel,Drexel,-8.3,73.2%
11/19/2023,Albany,Quinnipiac,Quinnipiac,-8.7,76.0%
11/19/2023,Elon*,Winthrop*,Winthrop,-8.7,81.0%
11/19/2023,Cal St. Fullerton*,Cornell*,Cornell,-2.8,61.4%
11/19/2023,Kansas St.*,Miami FL*,Miami FL,-4.6,70.6%
11/19/2023,Yale*,Gardner Webb*,Yale,-6.3,73.7%
11/19/2023,LSU*,Wake Forest*,LSU,-4.4,68.6%
11/19/2023,Rhode Island*,Washington St.*,Washington St.,-6.4,74.0%
11/19/2023,Texas*,Louisville*,Texas,-10.8,87.6%
11/19/2023,Nebraska Omaha,Air Force,Air Force,-6.5,68.7%
11/19/2023,Western Michigan,Ohio St.,Ohio St.,-22.2,97.1%
11/19/2023,American,Georgetown,Georgetown,-12.2,84.1%
11/19/2023,DePaul*,San Francisco*,San Francisco,-6.4,74.2%
11/19/2023,Marshall*,Utah St.*,Utah St.,-3.5,64.2%
11/19/2023,Wofford,Virginia Tech,Virginia Tech,-17.4,93.8%
11/19/2023,Northern Iowa,South Florida,South Florida,-2.8,52.3%
11/19/2023,Georgia Southern*,Kennesaw St.*,Kennesaw St.,-0.6,52.5%
11/19/2023,Abilene Christian*,Fordham*,Fordham,-0.5,52.0%
