Date,Away,Home,Predicted Favorite,Model Spread,Win Probability
11/28/2023,Georgia Southern,Michigan St.,Michigan St.,-29.0,99.4%
11/28/2023,Cincinnati,Howard,Cincinnati,-12.8,92.4%
11/28/2023,Southern Illinois,Indiana St.,Indiana St.,-1.7,47.9%
11/28/2023,South Carolina St.,Furman,Furman,-21.2,97.2%
11/28/2023,LSU,Syracuse,Syracuse,-0.2,42.3%
11/28/2023,Mississippi St.,Georgia Tech,Mississippi St.,-7.1,82.7%
11/28/2023,Notre Dame,South Carolina,South Carolina,-6.9,68.6%
11/28/2023,Western Carolina,Tennessee Tech,Western Carolina,-4.2,74.3%
11/28/2023,Wagner,Providence,Providence,-19.2,95.0%
11/28/2023,Rider,Maryland,Maryland,-20.8,96.2%
11/28/2023,Charleston Southern,The Citadel,The Citadel,-7.2,74.0%
11/28/2023,William & Mary,Norfolk St.,Norfolk St.,-4.2,58.4%
11/28/2023,Northwestern St.,Louisiana Monroe,Louisiana Monroe,-8.4,79.5%
11/28/2023,Ball St.,Little Rock,Little Rock,-1.9,48.7%
11/28/2023,Miami FL,Kentucky,Kentucky,-7.6,86.1%
11/28/2023,Missouri,Pittsburgh,Pittsburgh,-8.3,75.4%
11/28/2023,Utah St.,Saint Louis,Utah St.,-3.4,71.7%
11/28/2023,Oral Roberts,Kansas St.,Kansas St.,-12.9,86.4%
11/28/2023,Chicago St.,Loyola Chicago,Loyola Chicago,-17.5,94.3%
11/28/2023,Nicholls St.,Baylor,Baylor,-23.7,98.5%
11/28/2023,Eastern Illinois,Kansas,Kansas,-37.0,100.0%
11/28/2023,McNeese St.,UAB,UAB,-10.4,79.5%
11/28/2023,Texas Southern,Purdue,Purdue,-29.7,99.9%
11/28/2023,Jackson St.,Arkansas St.,Arkansas St.,-7.7,72.3%
11/28/2023,Cal St. Bakersfield,Gonzaga,Gonzaga,-31.1,99.9%
11/28/2023,N.C. State,Mississippi,N.C. State,-3.3,71.4%
11/28/2023,Southern,Marquette,Marquette,-28.7,99.4%
11/28/2023,Clemson,Alabama,Alabama,-8.1,83.6%
11/28/2023,Akron,UNLV,UNLV,-2.4,50.7%
11/28/2023,Portland,Portland St.,Portland St.,-5.8,64.7%
11/28/2023,Idaho St.,Pepperdine,Pepperdine,-11.1,82.3%
11/28/2023,UC San Diego*,Washington*,Washington,-14.6,92.1%
11/25/2023,Brown*,UMKC*,Brown*,-5.1,70.5%
11/25/2023,Loyola MD,Missouri,Missouri,-16.1,91.2%
11/25/2023,Jackson St.,Georgetown,Georgetown,-13.8,87.6%
11/25/2023,New Orleans*,North Dakota*,New Orleans*,-0.2,50.8%
11/25/2023,NJIT,Wagner,Wagner,-10.4,84.1%
11/25/2023,Maryland Eastern Shore,Liberty,Liberty,-24.1,98.0%
11/25/2023,Maine,Columbia,Columbia,-2.5,52.1%
11/25/2023,Alabama St.*,Merrimack*,Merrimack*,-5.5,72.9%
11/25/2023,Mercer*,Western Michigan*,Mercer*,-3.7,65.2%
11/25/2023,Middle Tennessee*,Ohio*,Ohio*,-4.3,67.0%
11/25/2023,Northeastern,Princeton,Princeton,-10.6,80.1%
11/25/2023,Evansville*,Southeast Missouri St.*,Evansville*,-6,74.3%
11/25/2023,South Carolina St.,Missouri St.,Missouri St.,-24,98.3%
11/25/2023,Lafayette*,Monmouth*,Monmouth*,-3.6,65.0%
11/25/2023,Miami OH,St. Bonaventure,St. Bonaventure,-11.8,83.0%
11/25/2023,Army,Binghamton,Binghamton,-6.2,67.5%
11/25/2023,East Carolina,George Mason,George Mason,-4.9,60.5%
