Date,Away,Home,Predicted Favorite,Model Spread,Win Probability
11/13/2023,Hampton,Norfolk St.,Norfolk St.,-8,72.80%
11/13/2023,Siena,American,American,-3.9,58.60%
11/13/2023,The Citadel,Presbyterian,Presbyterian,-4.2,59.40%
11/13/2023,Florida Gulf Coast,Pittsburgh,Pittsburgh,-9.6,77.40%
11/13/2023,Villanova,Penn,Villanova,-12,91.40%
11/13/2023,East Tennessee St.,Butler,Butler,-14,87.70%
11/13/2023,Quinnipiac,Massachusetts,Massachusetts,-8.2,72.50%
11/13/2023,FIU,Miami FL,Miami FL,-22.6,97.50%
11/13/2023,Central Michigan,Florida St.,Florida St.,-24.9,98.30%
11/13/2023,North Florida,South Carolina St.,North Florida,-7,82.80%
11/13/2023,VMI,South Carolina,South Carolina,-19,94.90%
11/13/2023,Stony Brook,Duquesne,Duquesne,-8.1,72.30%
11/13/2023,Western Carolina,Middle Tennessee,Middle Tennessee,-6.6,67.00%
11/13/2023,Arkansas Pine Bluff,Central Arkansas,Central Arkansas,-3.9,67.80%
11/13/2023,Stephen F. Austin,Northwestern St.,Stephen F. Austin,-9.2,87.20%
11/13/2023,Southern,Arizona,Arizona,-30.4,99.80%
11/13/2023,South Dakota St.,Kansas St.,Kansas St.,-8.6,74.80%
11/13/2023,SIU Edwardsville,Missouri,Missouri,-15.7,90.60%
11/13/2023,Old Dominion,Arkansas,Arkansas,-18.6,96.20%
11/13/2023,Stetson,Houston,Houston,-31.2,100.20%
11/13/2023,Rider,Nebraska,Nebraska,-12.9,85.40%
11/13/2023,Oral Roberts,Missouri St.,Missouri St.,-6.3,66.30%
11/13/2023,Xavier,Purdue,Purdue,-11.2,93.50%
11/13/2023,UC Santa Barbara,UTEP,UC Santa Barbara,-1.7,65.60%
11/13/2023,Cal St. Bakersfield,California,California,-8.8,75.10%
11/13/2023,LIU,Pepperdine,Pepperdine,-15.2,91.20%
11/10/2023,Air Force,LIU,Air Force,-0.6,60.80%
11/10/2023,Central Connecticut,Quinnipiac,Quinnipiac,-10.6,81.90%
11/10/2023,Charlotte*,Liberty*,Liberty,-3.1,62.50%
11/10/2023,Kennesaw St.,Florida St.,Florida St.,-17.9,93.60%
11/10/2023,Charleston*,Duquesne*,Charleston,-1.8,57.30%
11/10/2023,UMass Lowell,Dartmouth,UMass Lowell,-2.6,69.00%
11/10/2023,Jacksonville,Xavier,Xavier,-20.3,95.80%
11/10/2023,Penn,Saint Joseph's,Saint Joseph's,-7.2,69.20%
11/10/2023,Youngstown St.,Michigan,Michigan,-22.1,97.60%
11/10/2023,Le Moyne,Villanova,Villanova,-24.3,98.10%
11/10/2023,Florida*,Virginia*,Virginia,-6.8,78.10%
11/10/2023,Davidson,Maryland,Maryland,-10.3,82.80%
11/10/2023,Princeton,Hofstra,Hofstra,-4.2,58.00%
11/10/2023,Texas A&M Commerce,Kentucky,Kentucky,-31.4,99.80%
11/10/2023,Marshall,Radford,Radford,-0.3,42.00%
11/10/2023,Austin Peay,George Mason,George Mason,-11.4,82.30%
11/10/2023,Chattanooga,Louisville,Louisville,-9.4,76.40%
11/10/2023,USC Upstate,Vanderbilt,Vanderbilt,-15.9,91.10%
11/10/2023,Boston College,The Citadel,Boston College,-6.2,80.00%
11/10/2023,Boston University,Rutgers,Rutgers,-16.6,92.00%
11/10/2023,Troy,Oregon St.,Oregon St.,-6.8,68.30%
11/10/2023,Monmouth,West Virginia,West Virginia,-18.4,94.00%
11/10/2023,Southern Miss,Akron,Akron,-6.8,68.10%
11/10/2023,Morehead St.,Purdue,Purdue,-26.2,99.70%
11/10/2023,Arizona,Duke,Duke,-2.3,89.10%
11/10/2023,UCF,Miami FL,Miami FL,-9.2,81.60%
11/10/2023,Binghamton,Pittsburgh,Pittsburgh,-16.1,91.10%
11/10/2023,Belmont,Furman,Furman,-5.5,63.10%
11/10/2023,Texas A&M,Ohio St.,Ohio St.,-1.5,50.50%
11/10/2023,Samford,VCU,VCU,-11.4,82.10%
11/10/2023,North Carolina A&T,UNC Greensboro,UNC Greensboro,-20.5,96.80%
11/10/2023,Wake Forest,Georgia,Wake Forest,0,59.20%
11/10/2023,Abilene Christian,N.C. State,N.C. State,-11.5,83.40%
11/10/2023,Detroit Mercy,Cincinnati,Cincinnati,-15,89.70%
11/10/2023,Sacred Heart,Iona,Iona,-9.8,77.70%
11/10/2023,Lehigh,Penn St.,Penn St.,-16.7,92.00%
11/10/2023,UTSA,Minnesota,Minnesota,-13.3,86.30%
11/10/2023,Oakland,Illinois,Illinois,-17.6,94.70%
11/10/2023,Indiana St.,Alabama,Alabama,-19.1,95.70%
11/10/2023,Gardner Webb,Arkansas,Arkansas,-22,98.00%
11/10/2023,Grambling St.,Colorado,Colorado,-18.8,94.60%
11/10/2023,Tennessee Tech,Murray St.,Murray St.,-12,83.60%
11/10/2023,Eastern Washington,Mississippi,Mississippi,-14.1,87.80%
11/10/2023,Southeastern Louisiana,Auburn,Auburn,-23.2,97.60%
11/10/2023,Mississippi Valley St.,Oklahoma,Oklahoma,-30.4,99.70%
11/10/2023,Nicholls St.,LSU,LSU,-20.7,96.30%
11/10/2023,Alabama St.,Iowa,Iowa,-28.9,99.30%
11/10/2023,South Dakota,UT Rio Grande Valley,UT Rio Grande Valley,-1.2,46.10%
11/10/2023,Bellarmine,Kansas St.,Kansas St.,-16,91.00%
11/10/2023,Manhattan,Kansas,Kansas,-31.9,100.00%
11/10/2023,Harvard,Rice,Rice,-1.1,45.30%
11/10/2023,Queens,Southern Illinois,Southern Illinois,-7,68.90%
11/10/2023,Rider,Marquette,Marquette,-20.5,96.50%
11/10/2023,Dayton,Northwestern,Dayton,-0.8,61.90%
11/10/2023,Little Rock,Illinois Chicago,Illinois Chicago,-3.4,55.00%
11/10/2023,Southeast Missouri St.,Butler,Butler,-16.3,91.50%
11/10/2023,Temple*,Navy*,Temple,-6.2,73.40%
