-2,129,George Mason,A10,2-0,1.5
-2,130,Southern Illinois,MVC,1-0,1.3
-2,131,Delaware,CAA,2-0,1.1
0,132,Louisiana Tech,CUSA,0-1,1.0
0,133,Duquesne,A10,3-0,1.0
1,134,Pepperdine,WCC,2-1,0.8
1,135,Stephen F. Austin,WAC,1-1,0.7
1,136,Iona,MAAC,1-1,0.6
1,137,Middle Tennessee,CUSA,2-1,0.6
1,138,Northern Iowa,MVC,0-1,0.5
1,139,Marshall,SB,1-1,0.5
2,140,Eastern Kentucky,ASun,0-0,0.4
2,141,Weber St.,BSky,1-0,0.4
2,142,Old Dominion,SB,0-2,0.4
-2,143,Temple,Amer,3-0,0.4
1,144,Georgia St.,SB,1-1,0.3
1,145,UC Santa Barbara,BW,0-2,0.3
1,146,Boston College,ACC,2-0,0.3
17,147,Loyola Marymount,WCC,1-1,0.2
0,148,Montana,BSky,1-1,0.0
0,149,South Dakota St.,Sum,0-2,0.0
0,150,Bryant,AE,0-2,-0.1
4,151,Long Beach St.,BW,1-2,-0.1
18,152,DePaul,BE,1-2,-0.2
-1,153,Cleveland St.,Horz,1-1,-0.3
-1,154,Charlotte,Amer,1-1,-0.3
-1,155,California,P12,2-1,-0.3
7,156,Oakland,Horz,1-2,-0.4
-1,157,Hawaii,BW,0-0,-0.4
-1,158,Belmont,MVC,1-1,-0.4
0,159,Oral Roberts,Sum,0-2,-0.4
0,160,Charleston,CAA,1-1,-0.5
0,161,Fresno St.,MWC,0-1,-0.6
-4,162,George Washington,A10,3-0,-0.7
2,163,Florida Gulf Coast,ASun,0-2,-0.8
29,164,Wright St.,Horz,0-2,-1.0
1,165,Longwood,BSth,0-1,-1.0
2,166,Drexel,CAA,1-2,-1.0
0,167,UTEP,CUSA,1-0,-1.0
1,168,Radford,BSth,1-1,-1.1
45,169,Indiana St.,MVC,1-1,-1.1
-19,170,Chattanooga,SC,2-0,-1.3
1,171,Louisiana,SB,1-1,-1.5
14,172,Oregon St.,P12,2-0,-1.5
0,173,Cornell,Ivy,2-0,-1.5
0,174,Towson,CAA,2-1,-1.5
