0,1,Houston,B12,4-0,21.6
0,2,Kansas,B12,3-0,20.9
0,3,Gonzaga,WCC,1-0,19.8
0,4,Arizona,P12,3-0,19.8
0,5,Duke,ACC,2-1,19.3
0,6,Purdue,B10,3-0,18.5
0,7,Tennessee,SEC,3-0,18.5
0,8,Kentucky,SEC,2-1,16.5
0,9,Michigan St.,B10,1-2,16
0,10,Baylor,B12,3-0,15.9
0,11,North Carolina,ACC,2-0,15.3
0,12,Connecticut,BE,3-0,15.2
0,13,Michigan,B10,3-0,15.1
0,14,Alabama,SEC,3-0,14.9
0,15,Arkansas,SEC,3-0,14.9
0,16,Creighton,BE,3-0,14.7
0,17,Memphis,Amer,2-0,14.2
0,18,Marquette,BE,3-0,14
0,19,Iowa,B10,2-1,13.7
0,20,Oregon,P12,2-0,13.6
0,21,UCLA,P12,3-0,13.5
0,22,TCU,B12,3-0,13.4
0,23,Texas,B12,3-0,13.3
0,24,Illinois,B10,2-1,12.9
0,25,Texas A&M,SEC,3-0,12.7
2,26,Virginia,ACC,4-0,12.4
-1,27,USC,P12,2-1,12.3
-1,28,Miami FL,ACC,3-0,12.2
7,29,Auburn,SEC,2-1,12.1
-1,30,San Diego St.,MWC,2-1,11.8
-1,31,Saint Mary's,WCC,1-1,11.7
-1,32,Wisconsin,B10,1-2,11.7
-1,33,Virginia Tech,ACC,2-1,11.6
-1,34,BYU,B12,3-0,11.6
0,35,Maryland,B10,1-2,11.3
1,36,Villanova,BE,2-1,11.1
1,37,Mississippi St.,SEC,3-0,11.1
1,38,Colorado,P12,3-0,11
1,39,Ohio St.,B10,2-1,11
-6,40,Texas Tech,B12,3-0,10.7
1,41,Iowa St.,B12,3-0,10.7
1,42,Providence,BE,3-0,10.4
1,43,Florida St.,ACC,2-0,10.3
1,44,Seton Hall,BE,3-0,10
-4,45,Utah,P12,3-0,10
0,46,Oklahoma,B12,3-0,10
0,47,Clemson,ACC,3-0,9.9
3,48,Indiana,B10,3-0,9.9
-1,49,Xavier,BE,2-1,9.9
