0,1,Houston,B12,2-0,22.1
0,2,Kansas,B12,2-0,20.8
1,3,Gonzaga,WCC,1-0,20.0
-1,4,Arizona,P12,2-0,19.2
0,5,Duke,ACC,1-1,19.0
1,6,Tennessee,SEC,2-0,18.5
-1,7,Purdue,B10,2-0,18.3
0,8,Kentucky,SEC,2-0,16.5
0,9,Michigan St.,B10,1-1,16.4
3,10,North Carolina,ACC,2-0,15.3
-1,11,Arkansas,SEC,2-0,15.3
0,12,Connecticut,BE,2-0,15.2
-2,13,Baylor,B12,2-0,15.1
2,14,Michigan,B10,2-0,14.4
-1,15,Creighton,BE,2-0,14.3
6,16,Memphis,Amer,2-0,14.2
0,17,UCLA,P12,2-0,13.9
-3,18,Iowa,B10,2-0,13.9
0,19,Oregon,P12,2-0,13.7
8,20,Marquette,BE,2-0,13.5
2,21,USC,P12,2-0,13.5
-4,22,Texas,B12,2-0,13.4
-2,23,Illinois,B10,2-0,13.3
5,24,TCU,B12,2-0,13.0
-1,25,Miami FL,ACC,2-0,12.9
0,26,Alabama,SEC,2-0,12.6
-2,27,Wisconsin,B10,1-1,12.4
-8,28,Saint Mary's,WCC,1-1,12.1
3,29,Texas A&M,SEC,2-0,12.1
1,30,Virginia,ACC,2-0,12.1
2,31,Villanova,BE,2-0,11.9
-2,32,San Diego St.,MWC,1-1,11.9
-6,33,Virginia Tech,ACC,1-1,11.7
0,34,Maryland,B10,1-2,11.7
2,35,Auburn,SEC,1-1,11.4
-1,36,Texas Tech,B12,2-0,11.4
2,37,Ohio St.,B10,1-1,10.8
0,38,Mississippi St.,SEC,2-0,10.6
7,39,Colorado,P12,2-0,10.5
9,40,Florida St.,ACC,1-0,10.2
0,41,Indiana,B10,2-0,10.2
5,42,Xavier,BE,2-0,10.0
-3,43,Clemson,ACC,3-0,9.9
-1,44,Utah,P12,2-0,9.8
5,45,Seton Hall,BE,2-0,9.8
-10,46,LSU,SEC,1-1,9.8
-2,47,Providence,BE,2-0,9.7
3,48,N.C. State,ACC,2-0,9.7
-7,49,Iowa St.,B12,3-0,9.7
-6,50,BYU,B12,2-0,9.6
-3,51,Dayton,A10,1-1,9.2
5,52,Rutgers,B10,2-1,9.2
5,53,Cincinnati,B12,3-0,8.6
0,54,Oklahoma,B12,2-0,8.5
-2,55,St. John's,BE,1-0,8.5
0,56,SMU,Amer,2-0,8.2
-5,57,Washington,P12,2-1,8.1
3,58,Nevada,MWC,2-0,7.8
0,59,Syracuse,ACC,2-0,7.8
2,60,Florida Atlantic,Amer,1-0,7.1
-6,61,West Virginia,B12,1-1,7.0
3,62,New Mexico,MWC,1-1,6.9
7,63,Oklahoma St.,B12,1-1,6.8
4,64,Boise St.,MWC,1-0,6.8
2,65,Kansas St.,B12,1-1,6.7
-6,66,Penn St.,B10,2-0,6.7
7,67,Colorado St.,MWC,2-0,6.6
-4,68,San Francisco,WCC,1-1,6.2
-6,69,UCF,B12,1-1,6.2
10,70,VCU,A10,1-1,6.1
2,71,Northwestern,B10,2-0,6.1
-6,72,Pittsburgh,ACC,2-0,6.1
4,73,Mississippi,SEC,2-0,5.9
-5,74,Florida,SEC,1-1,5.8
4,75,Stanford,P12,2-0,5.8
0,76,Wichita St.,Amer,2-0,5.5
-5,77,Butler,BE,2-0,5.4
7,78,UAB,Amer,1-2,5.4
23,79,Furman,SC,1-0,5.4
-9,80,Missouri,SEC,1-1,5.3
3,81,Davidson,A10,1-1,5.3
1,82,Arizona St.,P12,1-1,5.1
-8,83,Wake Forest,ACC,1-1,4.9
-3,84,Washington St.,P12,2-0,4.7
1,85,Drake,MVC,1-0,4.6
12,86,Liberty,CUSA,1-0,4.5
