,Rank,Team,Conf,Record,Rating
-3,215,La Salle,A10,5-2,-4.1
0,216,North Dakota St.,Sum,2-4,-4.2
0,217,Wofford,SC,1-5,-4.2
0,218,Illinois St.,MVC,2-3,-4.3
5,219,Bellarmine,ASun,1-6,-4.4
-13,220,Purdue Fort Wayne,Horz,5-1,-4.4
0,221,Eastern Kentucky,ASun,1-2,-4.5
0,222,Little Rock,OVC,3-4,-4.5
0,223,Jacksonville St.,CUSA,2-4,-4.6
1,224,Quinnipiac,MAAC,4-1,-4.6
6,225,High Point,BSth,3-3,-4.6
0,226,Saint Peter's,MAAC,1-4,-4.6
1,227,Arkansas St.,SB,2-5,-4.7
1,228,Cal St. Fullerton,BW,1-4,-4.7
13,229,UT Arlington,WAC,3-3,-4.7
0,230,Bowling Green,MAC,4-3,-4.8
1,231,Troy,SB,1-4,-4.8
1,232,Montana St.,BSky,2-3,-4.9
-18,233,Evansville,MVC,5-1,-5.0
0,234,New Hampshire,AE,3-3,-5.0
0,235,Mercer,SC,2-3,-5.2
1,236,Coastal Carolina,SB,1-4,-5.3
-1,237,Rice,Amer,0-5,-5.4
0,238,Monmouth,CAA,4-4,-5.5
0,239,Portland,WCC,2-3,-5.5
0,240,Tennessee Martin,OVC,3-2,-5.6
0,241,Air Force,MWC,6-2,-5.7
-29,242,Southern Utah,WAC,1-4,-5.7
3,243,Mount St. Mary's,MAAC,1-4,-5.8
-1,244,FIU,CUSA,2-7,-5.8
3,245,Nicholls St.,Slnd,2-5,-5.8
3,246,UMBC,AE,3-4,-5.9
3,247,East Tennessee St.,SC,2-4,-5.9
5,248,Kennesaw St.,ASun,2-3,-6.0
-2,249,Eastern Washington,BSky,0-6,-6.0
12,250,Queens,ASun,4-4,-6.1
4,251,South Dakota,Sum,2-3,-6.1
29,252,Navy,Pat,1-4,-6.2
3,253,UC Riverside,BW,1-4,-6.2
12,254,Stony Brook,CAA,1-4,-6.3
2,255,SIU Edwardsville,OVC,3-3,-6.3
3,256,Detroit Mercy,Horz,0-7,-6.3
3,257,Texas Southern,SWAC,0-7,-6.4
-4,258,Pacific,WCC,4-4,-6.4
2,259,UC San Diego,BW,3-3,-6.5
3,260,Ball St.,MAC,3-2,-6.5
4,261,American,Pat,3-4,-6.5
7,262,Merrimack,NEC,2-5,-6.6
-11,263,Lehigh,Pat,0-6,-6.6
-19,264,Prairie View A&M,SWAC,3-3,-6.7
-1,265,St. Thomas,Sum,2-4,-6.7
4,266,Columbia,Ivy,4-2,-6.8
-16,267,Robert Morris,Horz,1-5,-6.8
0,268,Niagara,MAAC,1-3,-6.9
8,269,Albany,AE,4-3,-6.9
9,270,Northern Colorado,BSky,1-4,-7.0
-13,271,Boston University,Pat,1-5,-7.0
10,272,Cal St. Northridge,BW,4-2,-7.0
-29,273,Binghamton,AE,3-4,-7.2
-3,274,Utah Tech,WAC,2-3,-7.2
-2,275,North Carolina Central,MEAC,2-4,-7.3
-2,276,The Citadel,SC,3-4,-7.4
-2,277,Tennessee Tech,OVC,1-5,-7.4
-2,278,Wagner,NEC,1-4,-7.4
-12,279,Campbell,CAA,2-5,-7.5
-2,280,Fairfield,MAAC,0-5,-7.6
17,281,Jacksonville,ASun,4-2,-7.6
-2,282,Western Michigan,MAC,2-4,-7.6
-11,283,Denver,Sum,4-3,-7.6
-1,284,Rider,MAAC,0-5,-7.7
11,285,Buffalo,MAC,0-6,-7.8
-2,286,Cal St. Bakersfield,BW,2-4,-7.8
-2,287,Milwaukee,Horz,1-4,-8.0
-1,288,William & Mary,CAA,2-5,-8.0
-1,289,Eastern Michigan,MAC,4-3,-8.1
-1,290,Miami OH,MAC,2-3,-8.1
9,291,Maine,AE,4-4,-8.1
-1,292,New Orleans,Slnd,1-3,-8.2
-3,293,North Florida,ASun,3-4,-8.2
-2,294,North Alabama,ASun,2-3,-8.2
-2,295,North Dakota,Sum,4-1,-8.3
-2,296,Jackson St.,SWAC,2-6,-8.3
-11,297,Loyola MD,Pat,1-6,-8.3
-1,298,Sacramento St.,BSky,1-5,-8.5
0,299,UMKC,Sum,0-5,-8.5
3,300,USC Upstate,BSth,1-5,-8.7
15,301,Dartmouth,Ivy,0-4,-8.7
-1,302,Elon,CAA,4-3,-8.7
-8,303,Presbyterian,BSth,5-3,-8.8
-2,304,Southern Indiana,OVC,0-6,-9.0
-1,305,Nebraska Omaha,Sum,1-4,-9.0
-1,306,Le Moyne,NEC,1-5,-9.1
-1,307,Louisiana Monroe,SB,2-3,-9.1
0,308,Lamar,Slnd,3-3,-9.2
1,309,Alcorn St.,SWAC,0-7,-9.4
1,310,Fairleigh Dickinson,NEC,2-4,-9.5
14,311,Texas A&M Corpus Chris,Slnd,1-4,-9.5
16,312,Central Connecticut,NEC,1-5,-9.5
0,313,Georgia Southern,SB,0-7,-9.6
0,314,Hampton,CAA,1-5,-9.6
0,315,UTSA,Amer,3-4,-9.6
-9,316,Lafayette,Pat,0-7,-9.7
-5,317,Austin Peay,ASun,1-5,-9.7
2,318,Northern Arizona,BSky,2-5,-9.9
-1,319,Bucknell,Pat,2-7,-9.9
-3,320,Idaho St.,BSky,1-4,-10.0
-2,321,Texas A&M Commerce,Slnd,2-5,-10.0
-1,322,Manhattan,MAAC,2-3,-10.2
0,323,Southern,SWAC,1-6,-10.4
-2,324,Valparaiso,MVC,3-3,-10.5
-16,325,Army,Pat,1-7,-10.5
0,326,Southeastern Louisiana,Slnd,0-5,-10.6
-3,327,Central Michigan,MAC,2-5,-10.6
-1,328,Alabama St.,SWAC,2-4,-11.2
4,329,UT Rio Grande Valley,WAC,0-6,-11.2
-1,330,Western Illinois,OVC,1-5,-11.5
-1,331,Southeast Missouri St.,OVC,1-5,-11.7
0,332,Eastern Illinois,OVC,1-5,-11.7
1,333,LIU,NEC,1-5,-12.1
1,334,Incarnate Word,Slnd,2-4,-12.1
1,335,Grambling St.,SWAC,0-5,-12.4
6,336,Cal Poly,BW,2-4,-12.4
-6,337,VMI,SC,0-6,-12.5
-1,338,Green Bay,Horz,2-4,-12.6
2,339,Florida A&M,SWAC,0-5,-12.6
0,340,Morgan St.,MEAC,0-7,-13.3
5,341,Stonehill,NEC,1-7,-13.3
-4,342,Central Arkansas,ASun,0-8,-13.5
-4,343,Holy Cross,Pat,2-5,-13.5
-1,344,Chicago St.,ind,2-7,-13.6
9,345,Saint Francis,NEC,1-5,-13.8
-2,346,Delaware St.,MEAC,2-6,-14.0
4,347,NJIT,AE,1-5,-14.1
-3,348,Northwestern St.,Slnd,0-6,-14.1
-2,349,Charleston Southern,BSth,0-5,-14.1
-2,350,Siena,MAAC,0-5,-14.2
-2,351,Lindenwood,OVC,2-4,-14.3
-2,352,Maryland Eastern Shore,MEAC,1-4,-14.3
-1,353,South Carolina St.,MEAC,1-6,-14.6
1,354,Idaho,BSky,1-4,-14.6
1,355,Alabama A&M,SWAC,1-5,-14.6
-3,356,Bethune Cookman,SWAC,1-4,-14.6
0,357,Arkansas Pine Bluff,SWAC,1-4,-15.9
0,358,North Carolina A&T,CAA,0-6,-16.5
1,359,Houston Christian,Slnd,0-5,-16.7
-1,360,IUPUI,Horz,1-5,-16.9
0,361,Coppin St.,MEAC,0-7,-16.9
0,362,Mississippi Valley St.,SWAC,0-7,-20.5
