0,1,Arizona,P12,6-0,22.7
0,2,Houston,B12,7-0,22.6
1,3,Purdue,B10,7-0,20.0
2,4,Duke,ACC,5-1,19.0
-2,5,Kansas,B12,5-1,18.9
1,6,Tennessee,SEC,4-2,18.6
-2,7,Gonzaga,WCC,4-1,18.5
0,8,Kentucky,SEC,6-1,18.2
0,9,Connecticut,BE,7-0,16.7
3,10,Baylor,B12,6-0,16.7
0,11,Michigan St.,B10,4-3,16.5
-2,12,North Carolina,ACC,5-1,16.3
1,13,Marquette,BE,6-1,16.0
1,14,BYU,B12,6-0,15.5
-3,15,Alabama,SEC,5-2,15.0
0,16,Creighton,BE,5-1,14.9
0,17,Villanova,BE,6-1,13.9
0,18,TCU,B12,6-0,13.7
0,19,Iowa,B10,4-2,13.4
0,20,UCLA,P12,3-2,13.3
0,21,Illinois,B10,5-1,13.2
0,22,Memphis,Amer,5-1,13.1
0,23,San Diego St.,MWC,5-1,13.1
1,24,Ohio St.,B10,5-1,13.0
1,25,Auburn,SEC,4-1,12.8
1,26,Texas,B12,5-1,12.6
1,27,Texas A&M,SEC,6-1,12.6
1,28,Michigan,B10,4-3,12.6
1,29,Arkansas,SEC,4-3,12.5
1,30,Wisconsin,B10,5-2,12.5
1,31,Iowa St.,B12,5-2,12.4
1,32,Nevada,MWC,4-0,12.2
1,33,Oklahoma,B12,6-0,12.1
1,34,Oregon,P12,4-2,12.0
2,35,USC,P12,4-2,11.9
-12,36,Miami FL,ACC,5-1,11.9
4,37,Clemson,ACC,6-0,11.7
1,38,Colorado,P12,5-1,11.2
1,39,Virginia,ACC,5-1,11.1
-4,40,Cincinnati,B12,6-0,11.0
6,41,Maryland,B10,4-3,10.9
0,42,Florida Atlantic,Amer,5-1,10.8
0,43,Virginia Tech,ACC,5-2,10.7
0,44,Utah,P12,4-2,10.7
-7,45,Mississippi St.,SEC,6-1,10.7
6,46,Providence,BE,6-1,10.7
-2,47,Xavier,BE,4-3,10.5
-2,48,Rutgers,B10,5-1,10.3
-1,49,Texas Tech,B12,5-1,10.2
0,50,Saint Mary's,WCC,2-4,10.1
0,51,Colorado St.,MWC,6-0,10.1
9,52,Washington,P12,4-2,9.6
1,53,Seton Hall,BE,4-2,9.4
1,54,Florida St.,ACC,4-1,9.4
1,55,St. John's,BE,4-2,9.3
1,56,Indiana,B10,5-1,9.1
1,57,New Mexico,MWC,5-1,9.0
4,58,Dayton,A10,4-2,9.0
4,59,Florida,SEC,4-2,8.9
4,60,Liberty,CUSA,5-0,8.8
-1,61,Kansas St.,B12,5-2,8.8
-13,62,N.C. State,ACC,4-2,8.7
-10,63,Pittsburgh,ACC,5-2,8.4
1,64,Butler,BE,5-2,7.9
-6,65,LSU,SEC,4-3,7.9
9,66,Syracuse,ACC,4-2,7.8
0,67,SMU,Amer,4-2,7.8
0,68,San Francisco,WCC,4-2,7.8
-3,69,Utah St.,MWC,5-1,7.5
-1,70,Washington St.,P12,5-1,6.9
-1,71,VCU,A10,4-3,6.8
-1,72,Oklahoma St.,B12,3-3,6.7
-1,73,Nebraska,B10,7-0,6.4
-1,74,Penn St.,B10,4-3,6.4
-1,75,Northwestern,B10,5-1,6.2
0,76,Richmond,A10,4-2,6.0
0,77,UCF,B12,4-2,6.0
0,78,Wichita St.,Amer,5-1,5.8
17,79,Mississippi,SEC,6-0,5.6
-1,80,Princeton,Ivy,6-0,5.6
-1,81,West Virginia,B12,3-3,5.5
2,82,South Carolina,SEC,6-0,5.4
-2,83,Missouri St.,MVC,5-1,5.3
-2,84,Grand Canyon,WAC,4-1,5.3
-2,85,North Texas,Amer,3-2,5.3
-1,86,Boise St.,MWC,2-3,5.1
6,87,Missouri,SEC,6-2,5.1
-2,88,Wake Forest,ACC,3-3,4.8
-2,89,Bradley,MVC,7-0,4.8
-1,90,Stanford,P12,3-4,4.6
-1,91,James Madison,SB,6-0,4.5
-1,92,Tulane,Amer,4-1,4.4
-1,93,UC Irvine,BW,5-1,4.4
0,94,Arizona St.,P12,3-2,4.1
0,95,Massachusetts,A10,3-1,4.0
1,96,Vermont,AE,3-2,3.9
1,97,Drake,MVC,4-1,3.8
1,98,Santa Clara,WCC,6-1,3.8
1,99,Hofstra,CAA,3-2,3.7
1,100,UNC Greensboro,SC,5-1,3.6
1,101,Ohio,MAC,4-2,3.6
1,102,Davidson,A10,2-3,3.6
1,103,Toledo,MAC,3-3,3.5
1,104,Kent St.,MAC,3-3,3.5
-17,105,UAB,Amer,4-3,3.3
0,106,UMass Lowell,AE,3-1,3.2
0,107,St. Bonaventure,A10,4-2,3.2
16,108,Georgia Tech,ACC,3-2,3.1
-1,109,Saint Joseph's,A10,4-2,3.1
-1,110,Akron,MAC,3-3,3.0
0,111,Minnesota,B10,4-2,2.9
0,112,Harvard,Ivy,4-2,2.9
0,113,Yale,Ivy,3-3,2.8
0,114,Georgia,SEC,3-3,2.7
0,115,Louisville,ACC,3-3,2.7
2,116,UNLV,MWC,3-3,2.7
0,117,George Mason,A10,5-1,2.5
13,118,Indiana St.,MVC,5-1,2.4
-9,119,Furman,SC,3-3,2.3
-1,120,Louisiana Tech,CUSA,3-1,2.3
-1,121,Hawaii,BW,4-0,2.0
-1,122,Northern Iowa,MVC,1-4,2.0
-1,123,Duquesne,A10,4-2,1.9
-1,124,Stephen F. Austin,WAC,3-2,1.8
2,125,Saint Louis,A10,4-3,1.7
-1,126,Charlotte,Amer,4-2,1.5
-1,127,Vanderbilt,SEC,3-3,1.5
0,128,Georgetown,BE,4-2,1.4
1,129,Appalachian St.,SB,3-2,1.3
-1,130,Notre Dame,ACC,3-3,1.3
1,131,Oakland,Horz,4-3,1.2
1,132,Boston College,ACC,4-2,1.1
1,133,UC Santa Barbara,BW,2-2,0.9
